horizon,model,feature,mean_abs_shap
15m,lightgbm,p85_speed,2.628072288005203
15m,lightgbm,p50_speed,1.24642470006371
15m,lightgbm,speed_roll_mean_3,0.6304879810354111
15m,lightgbm,free_flow_speed,0.6097167228288
15m,lightgbm,current_speed,0.4187899286163016
15m,lightgbm,hour_of_day,0.2971744218303111
15m,lightgbm,upstream_avg_jam_factor,0.272361160322581
15m,lightgbm,baseline_congestion_ratio,0.2269179661483298
15m,lightgbm,propagation_risk_score,0.2156726148676748
15m,lightgbm,downstream_avg_jam_factor,0.1652684346789287
15m,lightgbm,congestion_ratio,0.1641745431615184
15m,lightgbm,speed_roll_mean_6,0.1279779628754546
15m,lightgbm,p15_speed,0.1180808610630683
15m,lightgbm,urban_density_score,0.1135467972979842
15m,lightgbm,speed_lag_4,0.1094947224055487
15m,lightgbm,speed_lag_1,0.0837990770629004
15m,lightgbm,rain_1h,0.0699376443411498
15m,lightgbm,jam_factor,0.0667681494398247
15m,lightgbm,jam_lag_2,0.061520837422126
15m,lightgbm,temperature,0.0495963484077189
15m,lightgbm,jam_lag_4,0.0483536729236582
15m,lightgbm,day_of_week,0.040500541496081
15m,lightgbm,jam_lag_3,0.0377195884922379
15m,lightgbm,humidity,0.0362792180689362
15m,lightgbm,wind_speed,0.036161242479072
15m,lightgbm,school_density,0.0350133834044271
15m,lightgbm,speed_roll_std_6,0.034849899477278
15m,lightgbm,jam_lag_1,0.0294970469152882
15m,lightgbm,speed_lag_2,0.028741494802775
15m,lightgbm,jam_roll_mean_3,0.0285589699476789
15m,lightgbm,visibility,0.0281332704951781
15m,lightgbm,event_distance_km,0.0279831132386376
15m,lightgbm,speed_vs_p50,0.0250971564867678
15m,lightgbm,speed_lag_3,0.0226533441901479
15m,lightgbm,speed_confidence,0.0213386981840254
15m,lightgbm,hospital_density,0.0204453142568915
15m,lightgbm,event_severity_score,0.0176504021955403
15m,lightgbm,has_accident,0.0175406475808955
15m,lightgbm,poi_density,0.014711226790829
15m,lightgbm,bus_stop_density,0.0110063059127146
15m,lightgbm,is_peak_hour,0.0094926470881047
15m,lightgbm,corridor_id,0.0087159626694163
15m,lightgbm,road_class,0.0080864195238757
15m,lightgbm,city,0.0065167136615393
